outgoing,incoming,stops,duration,price,airline,departure_date,return_date
ZRH,LHR,0,"['1', '50']",192,SWISS,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '45']",192,SWISS,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '55']",245,British Airways,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '50']",192,SWISS,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '50']",192,SWISS,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '55']",221,SWISS,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '50']",222,SWISS,2024-07-01,2024-07-08
ZRH,LHR,1,"['4', '15']",223,"SWISS, Lufthansa",2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '50']",233,British Airways,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '50']",249,British Airways,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '55']",300,British Airways,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '55']",302,SWISS,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '45']",682,British Airways,2024-07-01,2024-07-08
ZRH,LHR,0,"['1', '50']",192,SWISS,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '50']",192,SWISS,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '55']",221,SWISS,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '50']",222,SWISS,2024-07-02,2024-07-09
ZRH,LHR,1,"['4', '15']",223,"SWISS, Lufthansa",2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '50']",233,British Airways,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '50']",249,British Airways,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '55']",300,British Airways,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '55']",302,SWISS,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '45']",682,British Airways,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '50']",136,SWISS,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '45']",136,SWISS,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '50']",136,SWISS,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '50']",136,SWISS,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '55']",161,SWISS,2024-07-02,2024-07-09
ZRH,LHR,1,['4'],171,"SWISS, Lufthansa",2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '50']",198,British Airways,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '55']",209,British Airways,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '45']",237,British Airways,2024-07-02,2024-07-09
ZRH,LHR,1,"['3', '45']",708,EurowingsOperated by Air Baltic,2024-07-02,2024-07-09
ZRH,LHR,0,"['1', '50']",136,SWISS,2024-07-03,2024-07-10
ZRH,LHR,0,"['1', '45']",136,SWISS,2024-07-03,2024-07-10
ZRH,LHR,0,"['1', '50']",136,SWISS,2024-07-03,2024-07-10
ZRH,LHR,0,"['1', '50']",136,SWISS,2024-07-03,2024-07-10
