outgoing,incoming,stops,duration,price,airline,departure_date,return_date
ZRH,YUL,1,"['15', '30']",505,"LufthansaAir Canada, SWISSOperated by Lufthansa CityLine",2024-07-01,2024-07-08
ZRH,YUL,1,"['12', '40']",509,"SWISS, Air CanadaOperated by Helvetic",2024-07-01,2024-07-08
ZRH,YUL,0,"['8', '20']",655,SWISSAir Canada,2024-07-01,2024-07-08
ZRH,YUL,1,"['15', '20']",582,DeltaOperated by Endeavor Air DBA Delta Connection,2024-07-01,2024-07-08
ZRH,YUL,1,['11'],633,KLMDelta,2024-07-01,2024-07-08
ZRH,YUL,1,"['10', '30']",658,"SWISS, Air Canada",2024-07-01,2024-07-08
ZRH,YUL,1,"['12', '40']",748,"SWISS, Air CanadaUnited",2024-07-01,2024-07-08
ZRH,YUL,1,"['9', '55']",753,Air France,2024-07-01,2024-07-08
ZRH,YUL,1,"['15', '20']",582,DeltaOperated by Endeavor Air DBA Delta Connection,2024-07-02,2024-07-09
ZRH,YUL,1,['11'],633,KLMDelta,2024-07-02,2024-07-09
ZRH,YUL,1,"['10', '30']",658,"SWISS, Air Canada",2024-07-02,2024-07-09
ZRH,YUL,1,"['12', '40']",748,"SWISS, Air CanadaUnited",2024-07-02,2024-07-09
ZRH,YUL,1,"['9', '55']",753,Air France,2024-07-02,2024-07-09
ZRH,YUL,1,"['13', '20']",485,"SWISS, Air Canada",2024-07-02,2024-07-09
ZRH,YUL,1,"['12', '40']",493,"SWISS, Air CanadaOperated by Air Baltic Corporation/Swiss",2024-07-02,2024-07-09
ZRH,YUL,1,"['15', '5']",505,"SWISS, LufthansaAir Canada",2024-07-02,2024-07-09
ZRH,YUL,1,['13'],519,"SWISS, Air CanadaLufthansaOperated by Air Baltic for Swiss International Air Lines",2024-07-02,2024-07-09
ZRH,YUL,1,"['10', '20']",540,Air FranceDelta,2024-07-02,2024-07-09
ZRH,YUL,1,['11'],561,"AustrianAir Canada, SWISS",2024-07-02,2024-07-09
ZRH,YUL,1,"['13', '20']",485,"SWISS, Air Canada",2024-07-03,2024-07-10
