outgoing_code,incoming_code,frequency
ZRH,LHR,8-13 flights per day
ZRH,BER,6-12 flights per day
ZRH,AMS,8-10 flights per day
ZRH,FRA,8-10 flights per day
ZRH,PMI,6-12 flights per day
ZRH,VIE,6-9 flights per day
ZRH,GVA,7-8 flights per day
ZRH,CDG,7-8 flights per day
ZRH,HAM,5-8 flights per day
ZRH,MAD,7-8 flights per day
ZRH,MUC,7 flights per day
ZRH,BCN,6-7 flights per day
ZRH,LIS,5-7 flights per day
ZRH,DUS,4-7 flights per day
ZRH,FCO,6 flights per day
ZRH,CPH,4-6 flights per day
ZRH,LCY,2-7 flights per day
ZRH,ATH,4-6 flights per day
ZRH,BEG,4-6 flights per day
ZRH,MXP,4-5 flights per day
ZRH,OPO,3-5 flights per day
ZRH,WAW,3-5 flights per day
ZRH,BRU,3-5 flights per day
ZRH,FLR,4 flights per day
ZRH,IST,4 flights per day
ZRH,PRG,4 flights per day
ZRH,VCE,4 flights per day
ZRH,DUB,3-5 flights per day
ZRH,AYT,2-5 flights per day
ZRH,PRN,3-5 flights per day
ZRH,HRG,2-5 flights per day
ZRH,AGP,3-4 flights per day
ZRH,VLC,3 flights per day
ZRH,ARN,3 flights per day
ZRH,BUD,3 flights per day
ZRH,DXB,3 flights per day
ZRH,JFK,3 flights per day
ZRH,LGW,3 flights per day
ZRH,NAP,2-4 flights per day
ZRH,NCE,3 flights per day
ZRH,OSL,2-3 flights per day
ZRH,SAW,2-3 flights per day
ZRH,STR,2-3 flights per day
ZRH,LUX,2-3 flights per day
ZRH,HAJ,1-3 flights per day
ZRH,PMO,2-3 flights per day
ZRH,CGN,0-3 flights per day
ZRH,MLA,2-3 flights per day
ZRH,ZAG,2 flights per day
ZRH,BDS,1-3 flights per day
ZRH,BKK,2 flights per day
ZRH,DOH,2 flights per day
ZRH,EWR,2 flights per day
ZRH,HEL,2 flights per day
ZRH,IAD,2 flights per day
ZRH,MAN,2 flights per day
ZRH,ORD,2 flights per day
ZRH,OTP,2 flights per day
ZRH,SIN,2 flights per day
ZRH,TLV,1-3 flights per day
ZRH,ALC,1-3 flights per day
ZRH,BLQ,1-2 flights per day
ZRH,GOT,1-2 flights per day
ZRH,HER,1-3 flights per day
ZRH,MIA,1-2 flights per day
ZRH,SKG,1-3 flights per day
ZRH,HKG,1-2 flights per day
ZRH,LJU,1-2 flights per day
ZRH,LPA,1-3 flights per day
ZRH,SKP,1-2 flights per day
ZRH,KRK,1-2 flights per day
ZRH,TFS,1-3 flights per day
ZRH,BHX,0-2 flights per day
ZRH,LCA,1-2 flights per day
ZRH,YUL,1 flight per day
ZRH,YYZ,1 flight per day
ZRH,ADB,1 flight per day
ZRH,AUH,1 flight per day
ZRH,BOD,1 flight per day
ZRH,BOM,1 flight per day
ZRH,BOS,1 flight per day
ZRH,CAI,1 flight per day
ZRH,DEL,1 flight per day
ZRH,FNC,0-2 flights per day
ZRH,GRU,1 flight per day
ZRH,IBZ,1 flight per day
ZRH,JNB,1 flight per day
ZRH,KEF,0-2 flights per day
ZRH,LAX,1 flight per day
ZRH,MRS,1 flight per day
ZRH,PHL,1 flight per day
ZRH,PVG,1 flight per day
ZRH,RIX,1 flight per day
ZRH,SFO,1 flight per day
ZRH,SOF,0-2 flights per day
ZRH,DRS,0-1 flights per day
ZRH,EDI,0-1 flights per day
ZRH,LTN,0-1 flights per day
ZRH,RMF,0-2 flights per day
ZRH,SJJ,0-1 flights per day
ZRH,SVQ,0-1 flights per day
ZRH,TLL,0-1 flights per day
ZRH,VNO,0-1 flights per day
ZRH,BIO,0-1 flights per day
ZRH,BRI,0-1 flights per day
ZRH,CTA,0-1 flights per day
ZRH,FAO,0-1 flights per day
ZRH,GRZ,0-1 flights per day
ZRH,NRT,0-1 flights per day
ZRH,RAK,0-1 flights per day
ZRH,SPU,0-2 flights per day
ZRH,WRO,0-1 flights per day
ZRH,FUE,0-1 flights per day
ZRH,GDN,0-1 flights per day
ZRH,BRE,0-1 flights per day
ZRH,TIA,0-1 flights per day
ZRH,YVR,1 flight per day
ZRH,NTE,0-1 flights per day
ZRH,ACE,0-1 flights per day
ZRH,CFU,0-1 flights per day
ZRH,CPT,0-1 flights per day
ZRH,CUN,0-1 flights per day
ZRH,DJE,0-1 flights per day
ZRH,CLJ,0-1 flights per day
ZRH,KSC,0-1 flights per day
ZRH,ICN,0-1 flights per day
ZRH,KGS,0-1 flights per day
ZRH,BRS,0-1 flights per day
ZRH,RUH,0-1 flights per day
ZRH,SCQ,0-1 flights per day
ZRH,SJO,0-1 flights per day
ZRH,YYC,1 flight per day
ZRH,BEY,0-1 flights per day
ZRH,BOG,0-1 flights per day
ZRH,GWT,0-1 flights per day
ZRH,HKT,0-1 flights per day
ZRH,LAS,0-1 flights per day
ZRH,DWC,0-1 flights per day
ZRH,MCT,0-1 flights per day
ZRH,MLE,0-1 flights per day
ZRH,MRU,0-1 flights per day
ZRH,OHD,0-1 flights per day
ZRH,OLB,0-1 flights per day
ZRH,PUJ,0-1 flights per day
ZRH,PUY,0-1 flights per day
ZRH,SSH,0-1 flights per day
ZRH,KLX,0-1 flights per day
ZRH,TGD,0-1 flights per day
ZRH,TPA,0-1 flights per day
ZRH,TUN,0-1 flights per day
